04:bd:88:41:5a:c0,04:bd:88:41:5a:c1,04:bd:88:41:5a:c2,04:bd:88:41:5a:d0,04:bd:88:41:5a:d1,04:bd:88:41:5a:d2,04:bd:88:41:5b:40,04:bd:88:41:5b:41,04:bd:88:41:5b:42,04:bd:88:41:5b:50,04:bd:88:41:5b:51,04:bd:88:41:5b:52,04:bd:88:41:67:60,04:bd:88:41:67:61,04:bd:88:41:67:62,04:bd:88:41:67:70,04:bd:88:41:67:71,04:bd:88:41:67:72,04:bd:88:41:6b:e0,04:bd:88:41:6b:e1,04:bd:88:41:6b:e2,04:bd:88:41:6b:f0,04:bd:88:41:6b:f1,04:bd:88:41:6b:f2,04:bd:88:41:a3:00,04:bd:88:41:a3:01,04:bd:88:41:a3:02,04:bd:88:41:a3:10,04:bd:88:41:a3:11,04:bd:88:41:a3:12,04:bd:88:41:a4:20,04:bd:88:41:a4:21,04:bd:88:41:a4:22,04:bd:88:41:a4:30,04:bd:88:41:a4:31,04:bd:88:41:a4:32,04:bd:88:41:a4:40,04:bd:88:41:a4:41,04:bd:88:41:a4:42,04:bd:88:41:a4:50,04:bd:88:41:a4:51,04:bd:88:41:a4:52,04:bd:88:5b:e6:a0,04:bd:88:5b:e6:a1,04:bd:88:5b:e6:a2,04:bd:88:5b:e6:b0,04:bd:88:5b:e6:b1,04:bd:88:5b:e6:b2,04:bd:88:5b:e7:00,04:bd:88:5b:e7:01,04:bd:88:5b:e7:02,04:bd:88:5b:e7:10,04:bd:88:5b:e7:11,04:bd:88:5b:e7:12,a8:bd:27:4c:ba:20,a8:bd:27:4c:ba:21,a8:bd:27:4c:ba:22,a8:bd:27:4c:ba:30,a8:bd:27:4c:ba:31,a8:bd:27:4c:ba:32,a8:bd:27:4c:c9:00,a8:bd:27:4c:c9:02,a8:bd:27:4c:c9:03,a8:bd:27:4c:c9:10,a8:bd:27:4c:c9:12,a8:bd:27:4c:c9:13,a8:bd:27:4c:d2:c0,a8:bd:27:4c:d2:c1,a8:bd:27:4c:d2:c2,a8:bd:27:4c:d2:d0,a8:bd:27:4c:d2:d1,a8:bd:27:4c:d2:d2,a8:bd:27:4d:19:20,a8:bd:27:4d:19:21,a8:bd:27:4d:19:22,a8:bd:27:4d:19:30,a8:bd:27:4d:19:31,a8:bd:27:4d:19:32,x,y,label
-67,-68,-68,-73,-73,-72,-63,-62,-62,-76,-76,-77,-63,-63,-63,-73,-73,-73,-74,-74,-74,-79,-79,-79,-100,-100,-100,-100,-100,-100,-100,-84,-84,-100,-88,-100,-76,-76,-77,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-89,-100,-100,-76,-100,-100,-100,-100,-83,-82,-100,-86,-86,-100,-63,-64,-64,-78,-78,-78,-100,-82,-100,-100,-84,-100,542,187,0
-66,-66,-66,-73,-73,-73,-63,-63,-63,-75,-75,-75,-62,-62,-62,-74,-74,-73,-74,-75,-75,-78,-78,-78,-100,-100,-100,-100,-100,-100,-100,-81,-100,-88,-100,-100,-76,-76,-76,-87,-85,-87,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-89,-100,-100,-76,-100,-100,-100,-100,-100,-82,-82,-100,-86,-100,-62,-62,-62,-77,-77,-77,-100,-82,-100,-100,-84,-100,542,187,0
-67,-67,-66,-72,-72,-73,-63,-63,-63,-75,-75,-75,-65,-65,-65,-74,-75,-75,-72,-72,-72,-80,-80,-80,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-88,-100,-76,-76,-76,-100,-85,-88,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-89,-100,-100,-76,-100,-100,-100,-100,-81,-81,-79,-100,-86,-100,-64,-64,-64,-80,-79,-79,-100,-82,-100,-100,-84,-100,542,187,0
-67,-67,-66,-73,-73,-73,-63,-63,-63,-76,-75,-76,-64,-64,-64,-73,-73,-73,-72,-72,-72,-78,-79,-79,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-88,-100,-76,-76,-76,-100,-85,-88,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-89,-100,-100,-76,-100,-100,-100,-100,-81,-83,-79,-86,-86,-100,-63,-63,-63,-78,-77,-78,-100,-82,-100,-100,-84,-100,542,187,0
-67,-67,-67,-73,-73,-73,-62,-62,-62,-78,-78,-77,-62,-62,-62,-74,-74,-76,-73,-74,-74,-78,-78,-79,-100,-100,-100,-100,-100,-100,-84,-83,-100,-100,-88,-100,-77,-77,-77,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-89,-100,-100,-76,-100,-100,-100,-100,-82,-82,-82,-100,-86,-100,-63,-64,-64,-78,-79,-79,-100,-82,-100,-100,-84,-100,542,187,0
-69,-69,-69,-73,-73,-73,-63,-63,-63,-73,-73,-73,-63,-64,-63,-73,-73,-73,-76,-75,-75,-79,-79,-79,-100,-100,-100,-100,-100,-100,-81,-81,-100,-88,-100,-100,-77,-77,-100,-87,-85,-88,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-89,-100,-100,-76,-100,-100,-100,-100,-100,-82,-82,-84,-86,-83,-63,-63,-62,-78,-78,-78,-100,-82,-100,-100,-84,-100,542,187,0
-67,-68,-68,-73,-72,-72,-63,-63,-63,-75,-76,-76,-65,-64,-65,-74,-74,-74,-72,-72,-72,-78,-78,-79,-100,-100,-100,-100,-100,-100,-85,-83,-100,-100,-88,-100,-100,-77,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-89,-100,-100,-76,-100,-100,-100,-100,-82,-81,-82,-100,-86,-100,-65,-65,-65,-77,-77,-77,-100,-82,-100,-100,-84,-100,542,187,0
-68,-68,-68,-73,-73,-73,-62,-62,-62,-77,-77,-77,-63,-63,-63,-73,-73,-73,-73,-73,-74,-79,-80,-79,-100,-100,-100,-100,-100,-100,-100,-84,-84,-100,-88,-100,-77,-77,-76,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-89,-100,-100,-76,-100,-100,-100,-100,-83,-83,-83,-100,-86,-100,-64,-63,-63,-78,-78,-78,-100,-82,-100,-100,-84,-100,542,187,0
-64,-63,-63,-74,-75,-74,-66,-66,-66,-75,-75,-75,-64,-64,-63,-71,-71,-71,-71,-71,-72,-74,-75,-75,-100,-100,-100,-100,-100,-100,-100,-83,-100,-87,-87,-88,-100,-83,-82,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-87,-87,-87,-100,-76,-100,-100,-100,-100,-83,-81,-82,-100,-86,-100,-63,-63,-63,-81,-81,-81,-100,-82,-100,-100,-84,-100,542,206,1
-64,-64,-63,-76,-76,-76,-65,-65,-65,-73,-74,-73,-63,-63,-63,-70,-70,-70,-74,-73,-72,-74,-74,-74,-100,-100,-100,-100,-100,-100,-100,-83,-100,-86,-87,-87,-100,-83,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-81,-84,-100,-87,-100,-100,-76,-100,-100,-100,-100,-83,-84,-84,-88,-86,-100,-63,-63,-63,-81,-81,-81,-100,-82,-100,-100,-84,-100,542,206,1
-100,-65,-100,-75,-75,-75,-65,-64,-65,-76,-75,-76,-64,-64,-64,-70,-70,-70,-72,-72,-72,-74,-74,-74,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-88,-100,-100,-77,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-86,-87,-86,-100,-76,-100,-100,-100,-100,-83,-83,-83,-100,-86,-100,-100,-64,-100,-81,-81,-81,-100,-82,-100,-100,-84,-100,542,206,1
-100,-64,-64,-75,-76,-76,-65,-65,-65,-75,-75,-74,-65,-64,-64,-69,-70,-70,-72,-72,-72,-75,-75,-75,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-88,-100,-100,-77,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-86,-87,-86,-100,-76,-100,-100,-100,-100,-83,-82,-83,-100,-86,-100,-60,-60,-60,-81,-81,-81,-100,-82,-100,-100,-84,-100,542,206,1
-63,-63,-63,-75,-75,-75,-65,-65,-65,-73,-74,-73,-64,-64,-64,-70,-70,-70,-73,-73,-72,-75,-75,-75,-100,-100,-100,-100,-100,-100,-100,-83,-100,-86,-87,-87,-82,-82,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-81,-84,-100,-87,-100,-100,-76,-100,-100,-100,-100,-100,-81,-80,-88,-86,-100,-61,-61,-61,-80,-81,-81,-100,-82,-100,-100,-84,-100,542,206,1
-64,-65,-64,-76,-76,-76,-66,-67,-67,-74,-74,-74,-65,-64,-64,-69,-69,-69,-72,-73,-73,-75,-75,-75,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-87,-100,-81,-81,-80,-88,-88,-89,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-86,-87,-100,-76,-100,-100,-100,-100,-82,-81,-81,-86,-87,-86,-60,-60,-60,-83,-83,-83,-100,-82,-100,-100,-84,-100,542,206,1
-63,-63,-64,-73,-74,-73,-66,-67,-66,-73,-73,-73,-61,-61,-61,-68,-69,-69,-74,-74,-74,-75,-75,-75,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-87,-100,-100,-81,-100,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-88,-88,-100,-76,-100,-100,-100,-100,-80,-80,-80,-100,-87,-100,-63,-63,-63,-79,-79,-79,-100,-82,-100,-100,-84,-100,542,206,1
-63,-63,-63,-73,-73,-73,-66,-66,-66,-75,-75,-76,-64,-64,-64,-71,-70,-70,-71,-71,-71,-75,-74,-74,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-88,-100,-82,-82,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-86,-87,-100,-100,-76,-100,-100,-100,-100,-100,-82,-83,-100,-86,-100,-62,-61,-61,-80,-79,-79,-100,-82,-100,-100,-84,-100,542,206,1
-69,-68,-69,-80,-80,-81,-66,-66,-66,-76,-75,-76,-60,-59,-60,-66,-66,-66,-76,-76,-76,-76,-76,-76,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-87,-100,-100,-83,-82,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-83,-82,-100,-88,-100,-100,-76,-100,-100,-100,-100,-80,-80,-100,-83,-82,-83,-68,-68,-67,-82,-82,-82,-100,-82,-100,-100,-84,-100,542,225,2
-69,-69,-69,-76,-76,-77,-64,-64,-64,-75,-75,-75,-58,-58,-58,-67,-67,-67,-76,-77,-76,-76,-75,-76,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-87,-100,-83,-84,-83,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-85,-85,-85,-100,-76,-100,-100,-100,-100,-78,-80,-80,-82,-81,-82,-69,-69,-69,-83,-84,-84,-100,-82,-100,-100,-84,-100,542,225,2
-100,-66,-100,-78,-78,-78,-65,-64,-64,-75,-75,-75,-55,-55,-55,-67,-67,-67,-73,-73,-73,-100,-73,-75,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-87,-100,-83,-81,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-81,-83,-100,-88,-100,-100,-76,-100,-100,-100,-100,-79,-80,-80,-100,-82,-100,-100,-72,-72,-82,-82,-82,-100,-82,-100,-100,-84,-100,542,225,2
-68,-68,-68,-82,-82,-82,-67,-67,-67,-75,-75,-75,-61,-61,-60,-65,-66,-66,-73,-72,-72,-73,-73,-73,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-87,-100,-100,-83,-85,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-85,-85,-85,-100,-76,-100,-100,-100,-100,-78,-77,-78,-82,-83,-83,-68,-68,-68,-81,-81,-81,-100,-82,-100,-100,-84,-100,542,225,2
-69,-69,-69,-79,-79,-79,-64,-64,-64,-76,-76,-76,-58,-58,-58,-67,-67,-67,-74,-74,-74,-75,-75,-75,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-87,-100,-83,-84,-83,-100,-88,-100,-100,-100,-100,-100,-100,-100,-82,-82,-100,-100,-85,-100,-100,-76,-100,-100,-100,-100,-79,-79,-79,-82,-82,-81,-67,-68,-68,-83,-83,-83,-100,-82,-100,-100,-84,-100,542,225,2
-68,-68,-68,-82,-82,-82,-68,-68,-68,-76,-76,-76,-57,-57,-57,-66,-66,-66,-73,-73,-72,-76,-76,-75,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-87,-100,-100,-83,-82,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-83,-82,-100,-88,-100,-100,-76,-100,-100,-100,-100,-77,-77,-77,-81,-82,-80,-72,-72,-72,-82,-82,-82,-100,-82,-100,-100,-84,-100,542,225,2
-69,-69,-69,-78,-78,-78,-66,-66,-66,-74,-74,-74,-58,-58,-58,-67,-67,-67,-75,-75,-75,-75,-75,-75,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-87,-100,-100,-81,-84,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-88,-100,-100,-76,-100,-100,-100,-100,-79,-79,-79,-83,-83,-83,-68,-68,-67,-84,-84,-85,-100,-82,-100,-100,-84,-100,542,225,2
-69,-69,-69,-80,-80,-80,-65,-65,-65,-75,-75,-76,-59,-59,-58,-67,-67,-67,-77,-76,-76,-75,-75,-75,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-87,-100,-100,-84,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-82,-82,-100,-100,-85,-100,-100,-76,-100,-100,-100,-100,-79,-80,-79,-83,-83,-83,-67,-67,-67,-83,-84,-83,-100,-82,-100,-100,-84,-100,542,225,2
-73,-73,-73,-80,-81,-81,-71,-71,-70,-77,-77,-77,-59,-58,-59,-63,-63,-64,-75,-75,-74,-73,-74,-74,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-87,-100,-100,-84,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-85,-100,-100,-82,-100,-100,-100,-100,-81,-81,-79,-82,-83,-82,-69,-69,-69,-100,-82,-100,-100,-83,-84,-89,-87,-100,542,244,3
-75,-75,-75,-77,-77,-76,-69,-68,-68,-77,-77,-77,-58,-58,-58,-66,-66,-66,-78,-78,-78,-74,-75,-74,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-87,-100,-100,-84,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-85,-100,-100,-82,-100,-100,-100,-100,-80,-81,-81,-83,-82,-83,-70,-70,-70,-100,-82,-100,-100,-83,-85,-100,-87,-88,542,244,3
-73,-73,-73,-81,-81,-81,-72,-71,-71,-76,-76,-76,-59,-59,-59,-68,-68,-68,-75,-74,-75,-76,-76,-75,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-87,-100,-100,-84,-86,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-85,-100,-100,-82,-100,-100,-100,-100,-81,-82,-82,-82,-82,-82,-70,-70,-70,-100,-82,-100,-84,-83,-100,-100,-87,-100,542,244,3
-76,-69,-100,-80,-80,-81,-100,-68,-100,-77,-77,-77,-60,-60,-60,-70,-70,-70,-74,-74,-74,-75,-75,-75,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-87,-100,-100,-84,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-85,-85,-100,-100,-85,-100,-85,-85,-100,-100,-100,-100,-81,-82,-81,-82,-81,-82,-69,-69,-69,-100,-82,-100,-100,-82,-100,-100,-84,-100,542,244,3
-72,-71,-72,-80,-81,-81,-72,-72,-72,-76,-76,-76,-59,-60,-59,-69,-69,-69,-76,-75,-75,-74,-74,-74,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-87,-100,-100,-84,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-85,-100,-100,-82,-100,-100,-100,-100,-80,-80,-80,-83,-84,-85,-69,-69,-69,-100,-82,-100,-100,-83,-84,-89,-88,-88,542,244,3
-75,-75,-100,-77,-77,-77,-69,-69,-67,-78,-78,-77,-60,-58,-59,-66,-66,-66,-77,-77,-77,-76,-76,-76,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-87,-100,-100,-84,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-85,-85,-100,-100,-85,-100,-85,-82,-83,-100,-100,-100,-81,-80,-81,-82,-81,-82,-69,-69,-69,-100,-82,-100,-100,-82,-100,-100,-84,-88,542,244,3
-74,-74,-74,-78,-78,-78,-67,-67,-67,-76,-76,-76,-59,-59,-59,-68,-68,-66,-80,-78,-78,-75,-74,-75,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-87,-100,-100,-84,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-85,-100,-100,-82,-100,-100,-100,-100,-81,-81,-81,-82,-82,-82,-69,-69,-69,-100,-82,-100,-84,-83,-85,-100,-87,-100,542,244,3
-75,-73,-73,-82,-82,-82,-69,-69,-71,-78,-78,-78,-59,-59,-59,-66,-66,-66,-77,-77,-77,-76,-77,-76,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-87,-100,-100,-84,-86,-100,-88,-100,-100,-100,-100,-100,-100,-100,-81,-81,-81,-100,-85,-100,-100,-82,-100,-100,-100,-100,-82,-81,-82,-85,-84,-84,-69,-70,-69,-88,-82,-88,-100,-83,-100,-100,-87,-100,542,244,3
