04:bd:88:41:5a:c0,04:bd:88:41:5a:c1,04:bd:88:41:5a:c2,04:bd:88:41:5a:d0,04:bd:88:41:5a:d1,04:bd:88:41:5a:d2,04:bd:88:41:5b:40,04:bd:88:41:5b:41,04:bd:88:41:5b:42,04:bd:88:41:5b:50,04:bd:88:41:5b:51,04:bd:88:41:5b:52,04:bd:88:41:67:60,04:bd:88:41:67:61,04:bd:88:41:67:62,04:bd:88:41:67:70,04:bd:88:41:67:71,04:bd:88:41:67:72,04:bd:88:41:6b:e0,04:bd:88:41:6b:e1,04:bd:88:41:6b:e2,04:bd:88:41:6b:f0,04:bd:88:41:6b:f1,04:bd:88:41:6b:f2,04:bd:88:41:a3:00,04:bd:88:41:a3:01,04:bd:88:41:a3:02,04:bd:88:41:a3:10,04:bd:88:41:a3:11,04:bd:88:41:a3:12,04:bd:88:41:a4:20,04:bd:88:41:a4:21,04:bd:88:41:a4:22,04:bd:88:41:a4:30,04:bd:88:41:a4:31,04:bd:88:41:a4:32,04:bd:88:41:a4:40,04:bd:88:41:a4:41,04:bd:88:41:a4:42,04:bd:88:41:a4:50,04:bd:88:41:a4:51,04:bd:88:41:a4:52,04:bd:88:5b:e6:a0,04:bd:88:5b:e6:a1,04:bd:88:5b:e6:a2,04:bd:88:5b:e6:b0,04:bd:88:5b:e6:b1,04:bd:88:5b:e6:b2,04:bd:88:5b:e7:00,04:bd:88:5b:e7:01,04:bd:88:5b:e7:02,04:bd:88:5b:e7:10,04:bd:88:5b:e7:11,04:bd:88:5b:e7:12,a8:bd:27:4c:ba:20,a8:bd:27:4c:ba:21,a8:bd:27:4c:ba:22,a8:bd:27:4c:ba:30,a8:bd:27:4c:ba:31,a8:bd:27:4c:ba:32,a8:bd:27:4c:c9:00,a8:bd:27:4c:c9:02,a8:bd:27:4c:c9:03,a8:bd:27:4c:c9:10,a8:bd:27:4c:c9:12,a8:bd:27:4c:c9:13,a8:bd:27:4c:d2:c0,a8:bd:27:4c:d2:c1,a8:bd:27:4c:d2:c2,a8:bd:27:4c:d2:d0,a8:bd:27:4c:d2:d1,a8:bd:27:4c:d2:d2,a8:bd:27:4d:19:20,a8:bd:27:4d:19:21,a8:bd:27:4d:19:22,a8:bd:27:4d:19:30,a8:bd:27:4d:19:31,a8:bd:27:4d:19:32,x,y,label
-74,-75,-75,-60,-59,-62,-68,-68,-69,-62,-63,-63,-70,-70,-67,-65,-63,-63,-75,-75,-79,-71,-73,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-83,-83,-88,-88,-80,-84,-82,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-89,-90,-100,-100,-100,-100,-100,-100,-88,-86,-88,-100,-87,-82,-71,-71,-71,-72,-72,-71,-100,-88,-88,-89,-88,-100,542,187,0
-76,-74,-75,-61,-61,-62,-68,-68,-68,-62,-63,-62,-68,-67,-66,-66,-64,-64,-75,-77,-72,-71,-71,-72,-100,-100,-100,-100,-100,-100,-85,-100,-86,-83,-82,-82,-79,-79,-79,-82,-81,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-90,-89,-100,-100,-100,-87,-86,-86,-88,-87,-88,-91,-87,-88,-70,-68,-67,-72,-71,-72,-100,-87,-87,-89,-89,-88,542,187,0
-76,-74,-74,-60,-61,-61,-68,-68,-68,-64,-64,-64,-70,-69,-68,-63,-64,-64,-76,-75,-79,-73,-74,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-82,-82,-80,-82,-80,-80,-80,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-89,-90,-100,-100,-100,-100,-100,-100,-88,-86,-88,-88,-88,-85,-68,-69,-67,-71,-71,-71,-100,-87,-88,-91,-88,-100,542,187,0
-73,-74,-75,-62,-61,-60,-68,-68,-69,-66,-66,-66,-68,-69,-69,-65,-63,-65,-77,-77,-72,-74,-74,-74,-100,-100,-100,-100,-100,-100,-86,-87,-86,-84,-86,-84,-79,-80,-81,-82,-82,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-89,-89,-100,-100,-100,-87,-86,-86,-88,-87,-88,-91,-88,-88,-72,-70,-72,-74,-72,-73,-100,-87,-87,-89,-89,-88,542,187,0
-75,-73,-75,-60,-61,-60,-68,-68,-68,-64,-66,-64,-68,-68,-68,-65,-63,-63,-77,-77,-79,-74,-74,-74,-100,-100,-100,-100,-100,-100,-85,-100,-86,-83,-82,-82,-80,-82,-80,-82,-83,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-91,-89,-100,-100,-100,-100,-100,-100,-88,-86,-88,-91,-88,-88,-69,-69,-70,-73,-72,-71,-100,-87,-86,-89,-89,-89,542,187,0
-75,-76,-75,-62,-62,-63,-68,-69,-68,-64,-64,-65,-68,-69,-67,-63,-63,-63,-75,-77,-72,-71,-71,-71,-100,-100,-100,-100,-100,-100,-85,-100,-86,-84,-82,-83,-79,-81,-79,-83,-83,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-89,-91,-100,-100,-100,-100,-100,-100,-88,-86,-88,-91,-87,-88,-69,-75,-70,-71,-71,-72,-100,-87,-87,-90,-88,-89,542,187,0
-76,-75,-74,-62,-61,-61,-77,-68,-68,-65,-62,-62,-69,-67,-71,-63,-62,-63,-76,-75,-79,-73,-72,-73,-100,-100,-100,-100,-100,-100,-85,-100,-86,-81,-83,-82,-80,-82,-80,-82,-81,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-89,-90,-100,-100,-100,-100,-100,-100,-88,-86,-88,-87,-86,-86,-69,-69,-70,-73,-72,-72,-100,-87,-86,-89,-89,-89,542,187,0
-76,-76,-76,-62,-61,-63,-69,-68,-69,-62,-64,-64,-66,-67,-67,-64,-64,-63,-77,-77,-76,-71,-71,-71,-100,-100,-100,-100,-100,-100,-85,-100,-86,-82,-82,-81,-80,-78,-79,-82,-84,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-91,-89,-100,-100,-100,-100,-100,-100,-88,-86,-88,-91,-87,-88,-70,-69,-69,-71,-72,-72,-100,-87,-86,-89,-88,-90,542,187,0
-79,-79,-79,-70,-69,-70,-69,-68,-69,-58,-58,-58,-64,-64,-64,-68,-63,-66,-77,-77,-79,-77,-77,-76,-100,-100,-100,-100,-100,-100,-87,-87,-86,-89,-90,-90,-88,-86,-87,-86,-86,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-91,-92,-100,-100,-100,-87,-86,-86,-86,-85,-85,-86,-87,-86,-70,-69,-70,-80,-80,-80,-88,-87,-87,-88,-86,-86,542,206,1
-80,-79,-82,-70,-69,-70,-68,-68,-67,-58,-59,-60,-64,-64,-62,-61,-62,-61,-78,-75,-76,-76,-76,-76,-100,-100,-100,-100,-100,-100,-87,-87,-86,-90,-88,-89,-85,-84,-80,-80,-88,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-92,-90,-100,-100,-100,-87,-86,-86,-85,-85,-86,-91,-86,-88,-73,-72,-72,-78,-78,-78,-100,-87,-88,-90,-88,-88,542,206,1
