04:bd:88:41:5a:c0,04:bd:88:41:5a:c1,04:bd:88:41:5a:c2,04:bd:88:41:5a:d0,04:bd:88:41:5a:d1,04:bd:88:41:5a:d2,04:bd:88:41:5b:40,04:bd:88:41:5b:41,04:bd:88:41:5b:42,04:bd:88:41:5b:50,04:bd:88:41:5b:51,04:bd:88:41:5b:52,04:bd:88:41:67:60,04:bd:88:41:67:61,04:bd:88:41:67:62,04:bd:88:41:67:70,04:bd:88:41:67:71,04:bd:88:41:67:72,04:bd:88:41:6b:e0,04:bd:88:41:6b:e1,04:bd:88:41:6b:e2,04:bd:88:41:6b:f0,04:bd:88:41:6b:f1,04:bd:88:41:6b:f2,04:bd:88:41:a3:00,04:bd:88:41:a3:01,04:bd:88:41:a3:02,04:bd:88:41:a3:10,04:bd:88:41:a3:11,04:bd:88:41:a3:12,04:bd:88:41:a4:20,04:bd:88:41:a4:21,04:bd:88:41:a4:22,04:bd:88:41:a4:30,04:bd:88:41:a4:31,04:bd:88:41:a4:32,04:bd:88:41:a4:40,04:bd:88:41:a4:41,04:bd:88:41:a4:42,04:bd:88:41:a4:50,04:bd:88:41:a4:51,04:bd:88:41:a4:52,04:bd:88:5b:e6:a0,04:bd:88:5b:e6:a1,04:bd:88:5b:e6:a2,04:bd:88:5b:e6:b0,04:bd:88:5b:e6:b1,04:bd:88:5b:e6:b2,04:bd:88:5b:e7:00,04:bd:88:5b:e7:01,04:bd:88:5b:e7:02,04:bd:88:5b:e7:10,04:bd:88:5b:e7:11,04:bd:88:5b:e7:12,a8:bd:27:4c:ba:20,a8:bd:27:4c:ba:21,a8:bd:27:4c:ba:22,a8:bd:27:4c:ba:30,a8:bd:27:4c:ba:31,a8:bd:27:4c:ba:32,a8:bd:27:4c:c9:00,a8:bd:27:4c:c9:02,a8:bd:27:4c:c9:03,a8:bd:27:4c:c9:10,a8:bd:27:4c:c9:12,a8:bd:27:4c:c9:13,a8:bd:27:4c:d2:c0,a8:bd:27:4c:d2:c1,a8:bd:27:4c:d2:c2,a8:bd:27:4c:d2:d0,a8:bd:27:4c:d2:d1,a8:bd:27:4c:d2:d2,a8:bd:27:4d:19:20,a8:bd:27:4d:19:21,a8:bd:27:4d:19:22,a8:bd:27:4d:19:30,a8:bd:27:4d:19:31,a8:bd:27:4d:19:32,x,y,label
-64,-63,-63,-58,-58,-58,-68,-69,-68,-57,-58,-58,-58,-58,-58,-60,-60,-60,-67,-67,-67,-72,-72,-72,-100,-100,-100,-100,-100,-100,-82,-100,-100,-82,-83,-82,-78,-78,-77,-81,-81,-81,-100,-100,-100,-100,-100,-100,-100,-100,-81,-85,-86,-85,-81,-80,-81,-100,-100,-100,-83,-82,-83,-82,-82,-81,-65,-65,-65,-66,-66,-66,-100,-100,-100,-100,-100,-100,542,187,0
-63,-64,-63,-59,-59,-59,-68,-68,-68,-58,-57,-57,-58,-58,-58,-60,-60,-60,-67,-67,-67,-73,-73,-73,-100,-100,-100,-100,-100,-100,-84,-83,-83,-82,-82,-82,-78,-78,-100,-81,-80,-80,-100,-100,-100,-100,-100,-100,-81,-81,-81,-85,-86,-86,-80,-81,-81,-100,-100,-100,-84,-83,-85,-83,-83,-83,-66,-65,-65,-66,-66,-66,-100,-100,-100,-100,-100,-100,542,187,0
-63,-63,-63,-58,-59,-59,-68,-68,-67,-58,-58,-58,-58,-58,-58,-60,-60,-61,-67,-67,-67,-73,-74,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-82,-82,-78,-78,-78,-81,-81,-81,-100,-100,-100,-100,-100,-100,-100,-100,-81,-85,-81,-85,-81,-80,-80,-100,-100,-100,-83,-82,-83,-84,-82,-83,-65,-65,-65,-67,-67,-67,-100,-100,-100,-100,-100,-100,542,187,0
-64,-63,-63,-59,-59,-59,-67,-68,-68,-58,-58,-57,-58,-58,-58,-60,-60,-60,-67,-67,-67,-72,-71,-72,-100,-100,-100,-100,-100,-100,-82,-83,-83,-82,-82,-82,-78,-78,-77,-80,-80,-79,-100,-100,-100,-100,-100,-100,-100,-100,-81,-85,-86,-86,-81,-80,-81,-100,-100,-100,-84,-82,-84,-82,-84,-81,-65,-65,-65,-66,-66,-66,-100,-100,-100,-100,-100,-100,542,187,0
-64,-63,-63,-59,-59,-59,-67,-68,-68,-58,-58,-57,-58,-58,-58,-60,-60,-60,-67,-67,-67,-72,-71,-72,-100,-100,-100,-100,-100,-100,-82,-83,-83,-82,-82,-82,-78,-78,-77,-80,-80,-79,-100,-100,-100,-100,-100,-100,-100,-100,-81,-85,-86,-86,-81,-80,-81,-100,-100,-100,-84,-82,-84,-82,-84,-81,-65,-65,-65,-66,-66,-66,-100,-100,-100,-100,-100,-100,542,187,0
-64,-64,-64,-59,-59,-59,-67,-67,-67,-58,-58,-58,-58,-58,-58,-61,-61,-60,-67,-66,-66,-70,-70,-70,-100,-100,-100,-100,-100,-100,-82,-83,-83,-80,-80,-80,-78,-78,-77,-81,-82,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-81,-100,-100,-100,-100,-84,-83,-82,-81,-81,-65,-64,-65,-66,-65,-66,-100,-100,-100,-100,-100,-100,542,187,0
-64,-64,-64,-59,-59,-59,-100,-66,-66,-58,-58,-58,-58,-58,-58,-60,-60,-60,-66,-66,-66,-69,-69,-69,-100,-100,-100,-100,-100,-100,-83,-83,-83,-81,-81,-81,-100,-100,-77,-81,-82,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-81,-100,-100,-100,-100,-83,-83,-100,-81,-100,-64,-64,-65,-66,-66,-66,-100,-100,-100,-100,-100,-100,542,187,0
-63,-63,-63,-59,-59,-59,-68,-68,-68,-58,-57,-58,-58,-59,-58,-60,-60,-60,-67,-67,-67,-73,-73,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-81,-82,-78,-78,-78,-81,-82,-82,-100,-100,-100,-100,-100,-100,-81,-81,-81,-85,-86,-86,-80,-81,-80,-100,-100,-100,-83,-82,-83,-84,-82,-83,-66,-65,-66,-66,-66,-66,-100,-100,-100,-100,-100,-100,542,187,0
-65,-66,-65,-66,-66,-66,-59,-59,-59,-56,-56,-56,-55,-55,-54,-56,-56,-56,-69,-69,-69,-74,-74,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-79,-80,-83,-82,-82,-100,-100,-100,-100,-100,-100,-100,-82,-83,-85,-85,-85,-81,-82,-81,-85,-86,-84,-76,-75,-75,-78,-77,-77,-63,-63,-63,-72,-72,-72,-100,-100,-100,-86,-87,-87,542,206,1
-66,-67,-66,-67,-67,-67,-59,-58,-58,-56,-55,-56,-55,-54,-54,-55,-55,-55,-69,-69,-69,-74,-74,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-87,-86,-100,-100,-80,-84,-84,-84,-100,-100,-100,-100,-100,-100,-82,-82,-82,-84,-85,-84,-80,-80,-81,-85,-85,-85,-75,-75,-75,-100,-77,-76,-64,-64,-64,-73,-73,-72,-83,-82,-84,-86,-86,-87,542,206,1
-66,-66,-67,-68,-68,-68,-58,-58,-57,-56,-55,-56,-55,-55,-55,-55,-55,-55,-68,-67,-68,-74,-74,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-80,-81,-82,-81,-82,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-81,-80,-80,-85,-86,-84,-76,-75,-75,-78,-77,-77,-63,-64,-64,-74,-73,-74,-100,-100,-100,-85,-86,-86,542,206,1
-66,-65,-66,-66,-66,-66,-59,-58,-59,-55,-55,-55,-55,-55,-55,-56,-56,-56,-69,-69,-69,-73,-73,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-87,-86,-78,-78,-80,-82,-82,-82,-100,-100,-100,-100,-100,-100,-82,-82,-82,-84,-85,-84,-80,-80,-81,-86,-85,-100,-75,-75,-75,-100,-77,-77,-64,-63,-64,-72,-72,-72,-83,-83,-84,-86,-86,-85,542,206,1
-66,-65,-65,-66,-66,-66,-59,-59,-59,-56,-55,-56,-55,-55,-54,-56,-56,-56,-69,-68,-69,-73,-72,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-80,-80,-82,-82,-79,-100,-100,-100,-100,-100,-100,-100,-81,-81,-85,-86,-84,-80,-81,-80,-85,-85,-85,-75,-74,-75,-100,-79,-78,-64,-64,-64,-72,-71,-71,-83,-83,-84,-86,-86,-85,542,206,1
-65,-65,-65,-66,-66,-66,-59,-59,-59,-56,-56,-56,-55,-54,-54,-56,-56,-56,-69,-69,-68,-72,-73,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-78,-77,-82,-83,-82,-100,-100,-100,-100,-100,-100,-100,-81,-81,-85,-85,-85,-81,-82,-82,-85,-86,-84,-75,-74,-75,-77,-77,-78,-63,-64,-63,-73,-72,-73,-83,-83,-84,-85,-86,-86,542,206,1
-66,-66,-66,-59,-59,-59,-64,-63,-63,-57,-56,-57,-55,-55,-55,-56,-56,-56,-70,-69,-69,-73,-73,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-81,-80,-100,-100,-78,-83,-84,-82,-100,-100,-100,-100,-100,-100,-81,-82,-81,-84,-84,-85,-81,-81,-81,-85,-85,-85,-75,-75,-74,-100,-77,-76,-63,-63,-63,-72,-72,-72,-83,-82,-83,-86,-85,-86,542,206,1
