04:bd:88:41:5a:c0,04:bd:88:41:5a:c1,04:bd:88:41:5a:c2,04:bd:88:41:5a:d0,04:bd:88:41:5a:d1,04:bd:88:41:5a:d2,04:bd:88:41:5b:40,04:bd:88:41:5b:41,04:bd:88:41:5b:42,04:bd:88:41:5b:50,04:bd:88:41:5b:51,04:bd:88:41:5b:52,04:bd:88:41:67:60,04:bd:88:41:67:61,04:bd:88:41:67:62,04:bd:88:41:67:70,04:bd:88:41:67:71,04:bd:88:41:67:72,04:bd:88:41:6b:e0,04:bd:88:41:6b:e1,04:bd:88:41:6b:e2,04:bd:88:41:6b:f0,04:bd:88:41:6b:f1,04:bd:88:41:6b:f2,04:bd:88:41:a3:00,04:bd:88:41:a3:01,04:bd:88:41:a3:02,04:bd:88:41:a3:10,04:bd:88:41:a3:11,04:bd:88:41:a3:12,04:bd:88:41:a4:20,04:bd:88:41:a4:21,04:bd:88:41:a4:22,04:bd:88:41:a4:30,04:bd:88:41:a4:31,04:bd:88:41:a4:32,04:bd:88:41:a4:40,04:bd:88:41:a4:41,04:bd:88:41:a4:42,04:bd:88:41:a4:50,04:bd:88:41:a4:51,04:bd:88:41:a4:52,04:bd:88:5b:e6:a0,04:bd:88:5b:e6:a1,04:bd:88:5b:e6:a2,04:bd:88:5b:e6:b0,04:bd:88:5b:e6:b1,04:bd:88:5b:e6:b2,04:bd:88:5b:e7:00,04:bd:88:5b:e7:01,04:bd:88:5b:e7:02,04:bd:88:5b:e7:10,04:bd:88:5b:e7:11,04:bd:88:5b:e7:12,a8:bd:27:4c:ba:20,a8:bd:27:4c:ba:21,a8:bd:27:4c:ba:22,a8:bd:27:4c:ba:30,a8:bd:27:4c:ba:31,a8:bd:27:4c:ba:32,a8:bd:27:4c:c9:00,a8:bd:27:4c:c9:02,a8:bd:27:4c:c9:03,a8:bd:27:4c:c9:10,a8:bd:27:4c:c9:12,a8:bd:27:4c:c9:13,a8:bd:27:4c:d2:c0,a8:bd:27:4c:d2:c1,a8:bd:27:4c:d2:c2,a8:bd:27:4c:d2:d0,a8:bd:27:4c:d2:d1,a8:bd:27:4c:d2:d2,a8:bd:27:4d:19:20,a8:bd:27:4d:19:21,a8:bd:27:4d:19:22,a8:bd:27:4d:19:30,a8:bd:27:4d:19:31,a8:bd:27:4d:19:32,x,y,label
-77,-77,-75,-61,-63,-62,-71,-71,-71,-66,-66,-65,-68,-68,-68,-63,-63,-63,-75,-75,-62,-80,-79,-80,-100,-100,-100,-100,-100,-100,-91,-92,-100,-90,-89,-91,-86,-86,-85,-89,-89,-90,-100,-100,-100,-100,-100,-100,-88,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-91,-91,-88,-87,-89,-69,-70,-70,-72,-72,-71,-90,-90,-100,-100,-100,-100,542,187,0
-76,-77,-76,-62,-61,-61,-71,-71,-71,-66,-66,-66,-68,-68,-68,-64,-63,-64,-76,-74,-74,-79,-78,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-88,-88,-86,-86,-86,-86,-86,-88,-100,-100,-100,-100,-100,-100,-88,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-91,-91,-88,-89,-89,-71,-70,-70,-72,-72,-72,-89,-89,-90,-100,-100,-100,542,187,0
-75,-76,-75,-61,-62,-61,-72,-72,-72,-66,-66,-67,-71,-69,-70,-64,-63,-64,-75,-74,-74,-79,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-88,-91,-86,-86,-86,-89,-87,-87,-100,-100,-100,-100,-100,-100,-88,-87,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-91,-91,-88,-89,-89,-71,-83,-54,-73,-72,-73,-89,-90,-90,-100,-100,-100,542,187,0
-74,-74,-73,-62,-63,-62,-70,-69,-69,-64,-64,-64,-70,-70,-70,-61,-62,-62,-74,-74,-74,-78,-78,-79,-100,-100,-100,-100,-100,-100,-91,-92,-100,-85,-86,-86,-100,-100,-85,-85,-86,-85,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-91,-100,-88,-100,-68,-68,-69,-73,-73,-73,-100,-100,-100,-100,-100,-100,542,187,0
-74,-100,-74,-61,-62,-63,-70,-72,-71,-64,-64,-64,-71,-70,-71,-62,-63,-62,-74,-74,-74,-82,-81,-81,-100,-100,-100,-100,-100,-100,-91,-92,-100,-86,-85,-85,-100,-100,-85,-87,-88,-87,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-91,-100,-87,-100,-100,-68,-70,-71,-71,-71,-100,-100,-100,-100,-100,-100,542,187,0
-74,-75,-73,-61,-61,-61,-70,-73,-73,-66,-66,-66,-69,-69,-70,-63,-63,-64,-74,-74,-76,-81,-80,-81,-100,-100,-100,-100,-100,-100,-91,-92,-100,-88,-88,-88,-86,-86,-86,-86,-87,-86,-100,-100,-100,-100,-100,-100,-88,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-91,-91,-88,-87,-89,-70,-71,-71,-72,-72,-72,-90,-89,-100,-100,-100,-100,542,187,0
-76,-76,-76,-61,-61,-61,-71,-71,-71,-66,-67,-66,-71,-71,-69,-63,-63,-62,-75,-74,-74,-81,-80,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-89,-91,-86,-86,-86,-87,-88,-88,-100,-100,-100,-100,-100,-100,-88,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-91,-91,-88,-89,-89,-70,-70,-71,-72,-71,-71,-89,-90,-90,-100,-100,-100,542,187,0
-74,-74,-73,-61,-62,-62,-70,-69,-72,-65,-65,-64,-68,-70,-70,-62,-64,-62,-74,-74,-74,-76,-76,-76,-100,-100,-100,-100,-100,-100,-91,-92,-100,-86,-86,-86,-100,-100,-86,-86,-87,-86,-100,-100,-100,-100,-100,-100,-88,-87,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-91,-100,-89,-100,-71,-69,-69,-71,-71,-70,-100,-89,-100,-100,-100,-100,542,187,0
-73,-74,-73,-66,-66,-66,-72,-72,-73,-63,-64,-65,-70,-70,-69,-59,-59,-60,-76,-76,-75,-76,-76,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-90,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-87,-87,-86,-100,-100,-100,-90,-90,-91,-91,-90,-90,-75,-75,-76,-72,-72,-72,-100,-100,-100,-89,-87,-88,542,206,1
-73,-73,-74,-65,-64,-65,-71,-72,-71,-63,-63,-63,-69,-69,-69,-59,-59,-58,-76,-75,-76,-77,-76,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-88,-87,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-87,-87,-85,-100,-100,-100,-90,-90,-91,-91,-90,-90,-75,-77,-77,-73,-73,-73,-100,-100,-100,-88,-88,-88,542,206,1
