18:64:72:46:81:20,18:64:72:46:81:21,18:64:72:46:81:22,18:64:72:46:81:32,18:64:72:46:81:33,18:64:72:46:81:34,18:64:72:46:85:d1,18:64:72:46:85:d2,18:64:72:46:85:d3,18:64:72:46:86:91,18:64:72:46:86:92,18:64:72:46:86:93,18:64:72:46:a0:11,18:64:72:46:a0:12,18:64:72:46:a0:13,18:64:72:47:00:d1,18:64:72:47:00:d2,18:64:72:47:00:d3,18:64:72:47:01:00,18:64:72:47:01:01,18:64:72:47:01:02,18:64:72:47:01:11,18:64:72:47:01:12,18:64:72:47:01:13,18:64:72:47:04:80,18:64:72:47:04:81,18:64:72:47:04:82,18:64:72:47:04:91,18:64:72:47:04:92,18:64:72:47:04:93,18:64:72:47:08:31,18:64:72:47:08:32,18:64:72:47:08:33,84:d4:7e:d8:ef:e0,84:d4:7e:d8:ef:e1,84:d4:7e:d8:ef:e2,84:d4:7e:d8:ef:f0,84:d4:7e:d8:ef:f1,84:d4:7e:d8:ef:f3,84:d4:7e:d8:f1:70,84:d4:7e:d8:f1:71,84:d4:7e:d8:f1:73,84:d4:7e:d8:f2:30,84:d4:7e:d8:f2:32,84:d4:7e:d8:f2:33,84:d4:7e:d8:f3:40,84:d4:7e:d8:f3:41,84:d4:7e:d8:f3:42,84:d4:7e:d8:f3:50,84:d4:7e:d8:f3:51,84:d4:7e:d8:f3:53,84:d4:7e:d8:f3:80,84:d4:7e:d8:f3:81,84:d4:7e:d8:f3:82,84:d4:7e:d8:f3:90,84:d4:7e:d8:f3:91,84:d4:7e:d8:f3:93,84:d4:7e:d8:f4:40,84:d4:7e:d8:f4:41,84:d4:7e:d8:f4:42,84:d4:7e:d8:f4:51,84:d4:7e:d8:f4:52,84:d4:7e:d8:f4:53,84:d4:7e:d8:f5:80,84:d4:7e:d8:f5:81,84:d4:7e:d8:f5:82,84:d4:7e:d8:f5:90,84:d4:7e:d8:f5:91,84:d4:7e:d8:f5:93,84:d4:7e:d8:f6:30,84:d4:7e:d8:f6:31,84:d4:7e:d8:f6:33,84:d4:7e:d8:f6:80,84:d4:7e:d8:f6:81,84:d4:7e:d8:f6:82,84:d4:7e:d8:f6:91,84:d4:7e:d8:f6:92,84:d4:7e:d8:f6:93,84:d4:7e:d8:f6:f0,84:d4:7e:d8:f6:f1,84:d4:7e:d8:f6:f3,84:d4:7e:d8:f9:00,84:d4:7e:d8:f9:01,84:d4:7e:d8:f9:02,84:d4:7e:d8:f9:10,84:d4:7e:d8:f9:11,84:d4:7e:d8:f9:13,84:d4:7e:d8:f9:c0,84:d4:7e:d8:f9:c1,84:d4:7e:d8:f9:c2,84:d4:7e:d8:f9:d0,84:d4:7e:d8:f9:d1,84:d4:7e:d8:f9:d3,84:d4:7e:d8:fa:30,84:d4:7e:d8:fa:31,84:d4:7e:d8:fa:32,84:d4:7e:d8:fa:d0,84:d4:7e:d8:fa:d1,84:d4:7e:d8:fa:d3,84:d4:7e:d8:fb:00,84:d4:7e:d8:fb:01,84:d4:7e:d8:fb:02,84:d4:7e:d8:fb:10,84:d4:7e:d8:fb:11,84:d4:7e:d8:fb:13,84:d4:7e:d8:fd:40,84:d4:7e:d8:fd:41,84:d4:7e:d8:fd:42,84:d4:7e:d8:fd:50,84:d4:7e:d8:fd:51,84:d4:7e:d8:fd:53,84:d4:7e:d9:00:70,84:d4:7e:d9:00:72,84:d4:7e:d9:00:73,84:d4:7e:d9:00:b0,84:d4:7e:d9:00:b1,84:d4:7e:d9:00:b2,84:d4:7e:d9:00:f0,84:d4:7e:d9:00:f1,84:d4:7e:d9:00:f3,84:d4:7e:d9:02:10,84:d4:7e:d9:02:11,84:d4:7e:d9:02:13,84:d4:7e:d9:03:10,84:d4:7e:d9:03:11,84:d4:7e:d9:03:13,84:d4:7e:d9:07:20,84:d4:7e:d9:07:21,84:d4:7e:d9:07:22,84:d4:7e:d9:07:30,84:d4:7e:d9:07:31,84:d4:7e:d9:07:33,a8:bd:27:4c:b1:10,a8:bd:27:4c:b1:11,a8:bd:27:4c:b1:13,a8:bd:27:4c:b6:80,a8:bd:27:4c:b6:81,a8:bd:27:4c:b6:82,a8:bd:27:4c:b6:90,a8:bd:27:4c:b6:92,a8:bd:27:4c:b6:93,a8:bd:27:4c:b7:c0,a8:bd:27:4c:b7:c1,a8:bd:27:4c:b7:c2,a8:bd:27:4c:b7:d0,a8:bd:27:4c:b7:d2,a8:bd:27:4c:b7:d3,a8:bd:27:4c:bc:90,a8:bd:27:4c:bc:91,a8:bd:27:4c:bc:93,a8:bd:27:4c:bf:a0,a8:bd:27:4c:bf:a1,a8:bd:27:4c:bf:a2,a8:bd:27:4c:bf:b0,a8:bd:27:4c:bf:b2,a8:bd:27:4c:bf:b3,a8:bd:27:4c:c0:30,a8:bd:27:4c:c0:31,a8:bd:27:4c:c0:33,a8:bd:27:4c:c0:b0,a8:bd:27:4c:c0:b1,a8:bd:27:4c:c0:b3,a8:bd:27:4c:c8:d0,a8:bd:27:4c:c8:d1,a8:bd:27:4c:c8:d3,b4:5d:50:e1:92:f0,b4:5d:50:e1:92:f1,b4:5d:50:e1:92:f3,b4:5d:50:e1:93:80,b4:5d:50:e1:93:81,b4:5d:50:e1:93:82,b4:5d:50:e1:93:91,b4:5d:50:e1:93:92,b4:5d:50:e1:93:93,b4:5d:50:e1:9c:10,b4:5d:50:e1:9c:11,b4:5d:50:e1:9c:13,b4:5d:50:e1:9c:d0,b4:5d:50:e1:9c:d1,b4:5d:50:e1:9c:d3,x,y,label
-76,-76,-76,-71,-71,-70,-78,-78,-78,-82,-82,-82,-58,-52,-58,-85,-85,-85,-84,-84,-85,-100,-100,-100,-100,-100,-100,-78,-78,-78,-76,-76,-76,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-100,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-91.0,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-100,-100,-100,-85,-100,-100.0,-100.0,-100.0,-100.0,-87.0,-100.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87,-87.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-100.0,-100.0,-100.0,-87,-88,-86,-100,-100,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-92,-91,-92,-100.0,-100.0,-100.0,-89.0,-100.0,-89.0,-100,-100,-100,-72,-72,-71,-75,-75,-75,-100,-100,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80,-78,-78,-72,-72,-73,-73,-72,-72,-61,-61,-62,-91,-92.0,-92,-100,-100,-86,-100,-100,-100,-100.0,-100.0,-100.0,-77,-77,-77,-100.0,-100.0,-100.0,823,272,0
-76,-75,-75,-71,-71,-71,-77,-77,-77,-81,-82,-81,-61,-52,-62,-84,-85,-84,-86,-84,-84,-84,-84,-85,-100,-100,-100,-79,-79,-80,-75,-75,-75,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-100,-100.0,-100,-100.0,-100.0,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.0,-100.0,-100.0,-92,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-100,-100,-100,-87,-100,-100.0,-100.0,-100.0,-100.0,-86.0,-100.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87,-87.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-100.0,-100.0,-100.0,-86,-87,-87,-100,-100,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90,-92,-92,-100.0,-100.0,-100.0,-100.0,-100.0,-89.0,-100,-100,-100,-71,-70,-73,-76,-75,-74,-100,-100,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79,-79,-79,-71,-71,-71,-77,-79,-78,-61,-61,-61,-93,-93.0,-92,-100,-100,-89,-100,-100,-100,-100.0,-100.0,-100.0,-76,-76,-75,-100.0,-100.0,-100.0,823,272,0
-76,-77,-76,-72,-72,-72,-79,-79,-79,-85,-85,-84,-62,-54,-63,-85,-86,-85,-83,-83,-84,-84,-83,-83,-89,-89,-89,-79,-80,-79,-77,-77,-77,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-89,-100.0,-89,-100.0,-100.0,-100.0,-85.0,-100.0,-85.0,-100.0,-100.0,-100.0,-90.0,-90.0,-92.0,-91,-91.0,-100,-89.0,-91.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-100,-100,-100,-86,-100,-100.0,-100.0,-100.0,-100.0,-87.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89,-85.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.0,-100.0,-89.0,-100,-100,-100,-100.0,-100.0,-100.0,-85,-86,-85,-100,-100,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-92,-93,-92,-100.0,-100.0,-92.0,-88.0,-87.0,-89.0,-100,-100,-100,-73,-71,-71,-75,-76,-76,-100,-100,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79,-79,-79,-70,-71,-71,-73,-72,-73,-62,-62,-61,-91,-94.0,-91,-100,-100,-85,-100,-100,-100,-100.0,-100.0,-100.0,-77,-76,-77,-100.0,-100.0,-100.0,823,272,0
-74,-74,-75,-70,-70,-70,-78,-79,-78,-81,-81,-81,-61,-54,-63,-86,-85,-86,-83,-83,-82,-81,-83,-83,-88,-100,-87,-79,-79,-79,-76,-77,-76,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-89,-100.0,-89,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-90.0,-90.0,-90,-91.0,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-100,-100,-100,-87,-100,-100.0,-100.0,-100.0,-100.0,-88.0,-100.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88,-87.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.0,-100.0,-100.0,-100,-100,-100,-100.0,-100.0,-100.0,-86,-88,-88,-100,-100,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-92,-90,-91,-100.0,-100.0,-92.0,-90.0,-100.0,-89.0,-100,-100,-100,-71,-71,-71,-74,-74,-75,-100,-100,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80,-78,-78,-70,-69,-70,-72,-73,-73,-62,-61,-62,-92,-91.0,-91,-100,-100,-83,-100,-100,-100,-100.0,-100.0,-100.0,-77,-77,-77,-100.0,-100.0,-100.0,823,272,0
-76,-76,-65,-70,-70,-70,-78,-79,-78,-79,-79,-79,-60,-54,-60,-84,-83,-85,-84,-84,-85,-100,-100,-100,-100,-100,-100,-77,-77,-78,-77,-78,-78,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-100,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-91.0,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-100,-100,-100,-88,-100,-100.0,-100.0,-100.0,-100.0,-86.0,-100.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85,-85.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-100.0,-100.0,-100.0,-88,-87,-85,-100,-100,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90,-91,-93,-100.0,-100.0,-100.0,-88.0,-100.0,-88.0,-100,-100,-100,-72,-74,-74,-75,-76,-75,-100,-100,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80,-80,-80,-74,-74,-74,-72,-72,-72,-60,-60,-60,-94,-94.0,-91,-100,-100,-85,-100,-100,-100,-100.0,-100.0,-100.0,-76,-76,-76,-100.0,-100.0,-100.0,823,272,0
-75,-76,-76,-71,-70,-70,-78,-78,-78,-84,-83,-84,-62,-53,-62,-85,-85,-85,-84,-83,-84,-82,-87,-82,-89,-89,-89,-79,-78,-79,-79,-77,-77,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-89,-100.0,-89,-100.0,-100.0,-100.0,-85.0,-100.0,-85.0,-100.0,-100.0,-100.0,-90.0,-90.0,-92.0,-91,-91.0,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-100,-100,-100,-85,-100,-100.0,-100.0,-100.0,-100.0,-87.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88,-87.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.0,-100.0,-89.0,-100,-100,-100,-100.0,-100.0,-100.0,-88,-88,-87,-100,-100,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91,-91,-90,-100.0,-100.0,-92.0,-88.0,-100.0,-91.0,-100,-100,-100,-70,-70,-70,-75,-76,-75,-100,-100,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79,-79,-79,-69,-70,-69,-73,-72,-72,-61,-61,-61,-92,-92.0,-91,-100,-100,-85,-100,-100,-100,-100.0,-100.0,-100.0,-76,-75,-76,-100.0,-100.0,-100.0,823,272,0
-75,-76,-75,-69,-69,-69,-79,-80,-79,-82,-82,-88,-58,-54,-59,-85,-85,-84,-83,-83,-83,-85,-87,-85,-88,-100,-87,-78,-78,-78,-74,-76,-75,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-89,-100.0,-89,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-90.0,-92.0,-90,-91.0,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-100,-100,-100,-88,-100,-100.0,-100.0,-100.0,-100.0,-86.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88,-88.0,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.0,-100.0,-88.0,-100,-100,-100,-100.0,-100.0,-100.0,-85,-86,-86,-100,-100,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-92,-92,-91,-100.0,-100.0,-92.0,-90.0,-100.0,-88.0,-100,-100,-100,-72,-71,-71,-74,-73,-74,-100,-100,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80,-78,-78,-69,-70,-69,-72,-72,-72,-61,-60,-61,-92,-92.0,-91,-100,-100,-85,-100,-100,-100,-100.0,-100.0,-100.0,-77,-74,-75,-100.0,-100.0,-100.0,823,272,0
-77,-75,-76,-72,-71,-72,-81,-81,-81,-82,-81,-82,-60,-52,-60,-84,-85,-84,-84,-84,-84,-100,-100,-100,-100,-100,-100,-77,-78,-78,-77,-76,-77,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-100,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-100,-100,-100,-85,-100,-100.0,-100.0,-100.0,-100.0,-87.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88,-86.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-100.0,-100.0,-100.0,-88,-85,-86,-100,-100,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90,-91,-92,-100.0,-100.0,-100.0,-87.0,-100.0,-88.0,-100,-100,-100,-73,-72,-71,-75,-74,-74,-100,-100,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79,-80,-79,-73,-72,-73,-76,-76,-75,-62,-62,-62,-94,-94.0,-91,-100,-100,-85,-100,-100,-100,-100.0,-100.0,-100.0,-75,-75,-76,-100.0,-100.0,-100.0,823,272,0
-76,-76,-76,-67,-68,-68,-78,-78,-78,-77,-76,-76,-64,-57,-63,-82,-82,-82,-100,-100,-81,-78,-100,-78,-100,-100,-100,-81,-80,-81,-78,-79,-77,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-93,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100.0,-89,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-100,-100,-100,-90,-91,-100.0,-100.0,-100.0,-100.0,-87.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90,-88.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-100.0,-100.0,-100.0,-86,-86,-86,-100,-100,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-92,-93,-92,-100.0,-100.0,-100.0,-88.0,-100.0,-88.0,-100,-100,-100,-70,-70,-69,-77,-76,-77,-100,-100,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78,-78,-78,-75,-74,-75,-78,-76,-76,-67,-65,-67,-92,-92.0,-92,-100,-82,-81,-100,-100,-100,-100.0,-100.0,-100.0,-76,-76,-76,-100.0,-100.0,-100.0,823,286,1
-76,-76,-76,-68,-68,-69,-78,-78,-79,-78,-78,-77,-63,-57,-63,-81,-83,-83,-82,-82,-82,-78,-100,-78,-88,-100,-100,-80,-79,-80,-82,-83,-84,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-93,-100.0,-100,-100.0,-100.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90,-100.0,-89,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-100,-100,-100,-93,-91,-100.0,-100.0,-100.0,-100.0,-87.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91,-88.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100,-100,-100.0,-100.0,-100.0,-85,-86,-85,-100,-100,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-94,-94,-91,-100.0,-100.0,-100.0,-87.0,-100.0,-87.0,-100,-100,-100,-69,-69,-69,-75,-77,-76,-100,-100,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78,-78,-78,-76,-76,-77,-75,-75,-77,-66,-66,-66,-91,-92.0,-93,-100,-79,-81,-100,-100,-100,-100.0,-100.0,-100.0,-75,-74,-74,-100.0,-100.0,-100.0,823,286,1
