04:bd:88:41:5a:c0,04:bd:88:41:5a:c1,04:bd:88:41:5a:c2,04:bd:88:41:5a:d0,04:bd:88:41:5a:d1,04:bd:88:41:5a:d2,04:bd:88:41:5b:40,04:bd:88:41:5b:41,04:bd:88:41:5b:42,04:bd:88:41:5b:50,04:bd:88:41:5b:51,04:bd:88:41:5b:52,04:bd:88:41:67:60,04:bd:88:41:67:61,04:bd:88:41:67:62,04:bd:88:41:67:70,04:bd:88:41:67:71,04:bd:88:41:67:72,04:bd:88:41:6b:e0,04:bd:88:41:6b:e1,04:bd:88:41:6b:e2,04:bd:88:41:6b:f0,04:bd:88:41:6b:f1,04:bd:88:41:6b:f2,04:bd:88:41:a3:00,04:bd:88:41:a3:01,04:bd:88:41:a3:02,04:bd:88:41:a3:10,04:bd:88:41:a3:11,04:bd:88:41:a3:12,04:bd:88:41:a4:20,04:bd:88:41:a4:21,04:bd:88:41:a4:22,04:bd:88:41:a4:30,04:bd:88:41:a4:31,04:bd:88:41:a4:32,04:bd:88:41:a4:40,04:bd:88:41:a4:41,04:bd:88:41:a4:42,04:bd:88:41:a4:50,04:bd:88:41:a4:51,04:bd:88:41:a4:52,04:bd:88:5b:e6:a0,04:bd:88:5b:e6:a1,04:bd:88:5b:e6:a2,04:bd:88:5b:e6:b0,04:bd:88:5b:e6:b1,04:bd:88:5b:e6:b2,04:bd:88:5b:e7:00,04:bd:88:5b:e7:01,04:bd:88:5b:e7:02,04:bd:88:5b:e7:10,04:bd:88:5b:e7:11,04:bd:88:5b:e7:12,a8:bd:27:4c:ba:20,a8:bd:27:4c:ba:21,a8:bd:27:4c:ba:22,a8:bd:27:4c:ba:30,a8:bd:27:4c:ba:31,a8:bd:27:4c:ba:32,a8:bd:27:4c:c9:00,a8:bd:27:4c:c9:02,a8:bd:27:4c:c9:03,a8:bd:27:4c:c9:10,a8:bd:27:4c:c9:12,a8:bd:27:4c:c9:13,a8:bd:27:4c:d2:c0,a8:bd:27:4c:d2:c1,a8:bd:27:4c:d2:c2,a8:bd:27:4c:d2:d0,a8:bd:27:4c:d2:d1,a8:bd:27:4c:d2:d2,a8:bd:27:4d:19:20,a8:bd:27:4d:19:21,a8:bd:27:4d:19:22,a8:bd:27:4d:19:30,a8:bd:27:4d:19:31,a8:bd:27:4d:19:32,x,y,label
-100,-73,-74,-72,-72,-72,-100,-74,-74,-68,-68,-68,-68,-66,-67,-64,-65,-64,-100,-80,-81,-85,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-81,-81,-89,-90,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-68,-69,-67,-77,-78,-77,-100,-100,-100,-100,-100,-100,542,187,0
-73,-74,-74,-71,-71,-71,-73,-73,-74,-64,-64,-64,-66,-66,-66,-64,-64,-64,-81,-80,-80,-84,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-79,-86,-87,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-89,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-68,-68,-67,-77,-75,-76,-100,-100,-100,-100,-100,-100,542,187,0
-100,-74,-74,-71,-72,-72,-73,-74,-74,-64,-64,-64,-74,-66,-66,-64,-64,-64,-100,-80,-81,-85,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-81,-81,-86,-86,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-69,-67,-77,-75,-77,-100,-100,-100,-100,-100,-100,542,187,0
-74,-75,-75,-73,-72,-73,-73,-73,-73,-65,-65,-64,-66,-67,-66,-64,-65,-65,-78,-79,-78,-85,-85,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-85,-86,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-88,-89,-100,-100,-100,-100,-90,-89,-100,-100,-100,-68,-67,-67,-77,-78,-79,-100,-100,-100,-100,-100,-100,542,187,0
-100,-73,-74,-71,-72,-71,-73,-74,-73,-66,-67,-66,-67,-67,-67,-64,-65,-64,-100,-80,-100,-85,-85,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-67,-68,-68,-77,-76,-77,-100,-100,-100,-100,-100,-100,542,187,0
-72,-73,-72,-71,-71,-71,-72,-71,-72,-65,-65,-64,-64,-64,-64,-63,-63,-64,-81,-79,-80,-84,-85,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-80,-87,-87,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-86,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-70,-69,-78,-78,-77,-100,-100,-100,-100,-100,-100,542,187,0
-73,-73,-73,-72,-72,-71,-71,-72,-72,-65,-64,-64,-67,-67,-66,-65,-66,-65,-100,-100,-100,-85,-85,-84,-100,-100,-100,-100,-100,-100,-90,-90,-100,-100,-100,-100,-81,-100,-80,-85,-86,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-69,-77,-77,-76,-100,-100,-100,-100,-100,-100,542,187,0
-73,-74,-73,-71,-71,-71,-73,-73,-74,-65,-65,-64,-66,-67,-67,-63,-63,-64,-81,-80,-80,-84,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-87,-87,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-89,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-68,-68,-67,-78,-77,-77,-100,-100,-100,-100,-100,-100,542,187,0
-75,-74,-74,-70,-70,-70,-71,-72,-71,-69,-70,-69,-63,-62,-61,-68,-69,-68,-84,-84,-84,-84,-85,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-85,-83,-89,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-86,-87,-100,-100,-100,-74,-74,-75,-82,-82,-82,-100,-100,-100,-100,-100,-100,542,206,1
-76,-74,-74,-69,-69,-69,-69,-71,-71,-67,-68,-68,-62,-62,-62,-67,-67,-67,-85,-85,-86,-86,-87,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-88,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-87,-86,-100,-100,-100,-73,-73,-73,-81,-82,-81,-100,-100,-100,-100,-100,-100,542,206,1
