04:bd:88:41:5a:c0,04:bd:88:41:5a:c1,04:bd:88:41:5a:c2,04:bd:88:41:5a:d0,04:bd:88:41:5a:d1,04:bd:88:41:5a:d2,04:bd:88:41:5b:40,04:bd:88:41:5b:41,04:bd:88:41:5b:42,04:bd:88:41:5b:50,04:bd:88:41:5b:51,04:bd:88:41:5b:52,04:bd:88:41:67:60,04:bd:88:41:67:61,04:bd:88:41:67:62,04:bd:88:41:67:70,04:bd:88:41:67:71,04:bd:88:41:67:72,04:bd:88:41:6b:e0,04:bd:88:41:6b:e1,04:bd:88:41:6b:e2,04:bd:88:41:6b:f0,04:bd:88:41:6b:f1,04:bd:88:41:6b:f2,04:bd:88:41:a3:00,04:bd:88:41:a3:01,04:bd:88:41:a3:02,04:bd:88:41:a3:10,04:bd:88:41:a3:11,04:bd:88:41:a3:12,04:bd:88:41:a4:20,04:bd:88:41:a4:21,04:bd:88:41:a4:22,04:bd:88:41:a4:30,04:bd:88:41:a4:31,04:bd:88:41:a4:32,04:bd:88:41:a4:40,04:bd:88:41:a4:41,04:bd:88:41:a4:42,04:bd:88:41:a4:50,04:bd:88:41:a4:51,04:bd:88:41:a4:52,04:bd:88:5b:e6:a0,04:bd:88:5b:e6:a1,04:bd:88:5b:e6:a2,04:bd:88:5b:e6:b0,04:bd:88:5b:e6:b1,04:bd:88:5b:e6:b2,04:bd:88:5b:e7:00,04:bd:88:5b:e7:01,04:bd:88:5b:e7:02,04:bd:88:5b:e7:10,04:bd:88:5b:e7:11,04:bd:88:5b:e7:12,a8:bd:27:4c:ba:20,a8:bd:27:4c:ba:21,a8:bd:27:4c:ba:22,a8:bd:27:4c:ba:30,a8:bd:27:4c:ba:31,a8:bd:27:4c:ba:32,a8:bd:27:4c:c9:00,a8:bd:27:4c:c9:02,a8:bd:27:4c:c9:03,a8:bd:27:4c:c9:10,a8:bd:27:4c:c9:12,a8:bd:27:4c:c9:13,a8:bd:27:4c:d2:c0,a8:bd:27:4c:d2:c1,a8:bd:27:4c:d2:c2,a8:bd:27:4c:d2:d0,a8:bd:27:4c:d2:d1,a8:bd:27:4c:d2:d2,a8:bd:27:4d:19:20,a8:bd:27:4d:19:21,a8:bd:27:4d:19:22,a8:bd:27:4d:19:30,a8:bd:27:4d:19:31,a8:bd:27:4d:19:32,x,y,label
-69,-68,-69,-67,-67,-67,-71,-71,-71,-59,-59,-59,-65,-65,-65,-64,-63,-64,-75,-75,-75,-80,-80,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-88,-88,-100,-100,-100,-83,-83,-84,-100,-100,-100,-100,-100,-100,-100,-88,-88,-100,-100,-100,-88,-86,-88,-100,-100,-100,-88,-89,-88,-89,-89,-90,-100,-74,-73,-73,-73,-72,-100,-87,-87,-100,-100,-100,542,187,0
-69,-67,-64,-68,-68,-68,-69,-68,-68,-60,-59,-60,-67,-67,-67,-61,-61,-61,-78,-76,-77,-82,-82,-82,-100,-100,-100,-100,-100,-100,-89,-89,-89,-87,-87,-88,-84,-100,-84,-83,-83,-82,-100,-100,-100,-100,-100,-100,-100,-88,-88,-100,-100,-100,-100,-89,-100,-100,-100,-100,-88,-87,-87,-87,-87,-87,-69,-72,-72,-72,-72,-72,-100,-100,-100,-100,-100,-100,542,187,0
-100,-69,-69,-67,-67,-67,-100,-72,-72,-59,-59,-59,-66,-65,-65,-63,-64,-63,-75,-75,-75,-80,-80,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-89,-88,-81,-83,-83,-83,-84,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-87,-88,-100,-100,-100,-88,-88,-87,-91,-89,-91,-73,-74,-73,-73,-73,-73,-100,-87,-87,-100,-100,-100,542,187,0
-68,-68,-100,-66,-66,-66,-69,-69,-69,-59,-59,-59,-68,-67,-67,-62,-61,-62,-75,-74,-74,-82,-83,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-88,-88,-84,-84,-85,-83,-82,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-88,-88,-100,-100,-100,-88,-87,-87,-87,-88,-87,-73,-73,-70,-72,-71,-71,-100,-88,-87,-100,-92,-100,542,187,0
-68,-68,-100,-66,-66,-66,-67,-100,-67,-58,-59,-59,-67,-67,-68,-61,-61,-61,-100,-100,-74,-80,-80,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-86,-86,-100,-100,-100,-80,-81,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-87,-100,-100,-100,-89,-88,-89,-88,-88,-88,-71,-72,-72,-70,-70,-70,-100,-88,-87,-100,-100,-100,542,187,0
-64,-68,-69,-66,-66,-66,-70,-69,-70,-59,-59,-59,-67,-67,-67,-63,-61,-63,-75,-75,-74,-85,-84,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-88,-88,-84,-84,-85,-83,-83,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-88,-88,-100,-100,-100,-88,-87,-89,-88,-88,-89,-73,-73,-74,-72,-71,-71,-100,-90,-100,-100,-91,-100,542,187,0
-71,-70,-70,-67,-67,-67,-69,-68,-68,-57,-57,-57,-68,-67,-67,-62,-61,-62,-74,-100,-74,-82,-81,-82,-100,-100,-100,-100,-100,-100,-89,-89,-88,-86,-86,-86,-83,-84,-83,-82,-83,-82,-100,-100,-100,-100,-100,-100,-100,-88,-88,-100,-100,-100,-88,-87,-87,-100,-100,-100,-88,-88,-88,-87,-86,-86,-69,-74,-72,-73,-72,-73,-100,-88,-100,-100,-100,-100,542,187,0
-70,-69,-70,-66,-67,-66,-71,-71,-71,-64,-64,-64,-66,-66,-66,-63,-62,-63,-75,-75,-73,-80,-80,-80,-100,-100,-100,-100,-100,-100,-89,-100,-88,-89,-88,-87,-100,-100,-100,-82,-83,-82,-100,-100,-100,-100,-100,-100,-100,-88,-88,-100,-100,-100,-89,-87,-88,-100,-100,-100,-88,-88,-88,-89,-90,-90,-74,-73,-72,-73,-73,-73,-100,-100,-100,-100,-100,-100,542,187,0
-73,-73,-73,-69,-69,-69,-70,-70,-70,-61,-61,-61,-66,-66,-66,-61,-59,-61,-100,-73,-74,-79,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-91,-100,-84,-84,-84,-82,-82,-81,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-90,-89,-91,-100,-100,-100,-100,-87,-86,-87,-88,-89,-64,-67,-67,-71,-71,-71,-100,-100,-100,-90,-90,-91,542,206,1
-72,-73,-73,-68,-68,-68,-70,-70,-70,-60,-60,-60,-66,-65,-65,-62,-58,-62,-73,-72,-72,-82,-82,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-92,-83,-82,-83,-81,-81,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-87,-87,-100,-100,-100,-86,-86,-86,-89,-89,-90,-67,-66,-67,-70,-70,-70,-100,-86,-87,-100,-100,-100,542,206,1
-73,-74,-73,-69,-69,-69,-100,-71,-69,-62,-62,-62,-64,-64,-64,-61,-60,-61,-74,-74,-73,-82,-82,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-100,-82,-84,-83,-100,-100,-100,-100,-100,-100,-100,-85,-84,-100,-100,-100,-100,-88,-87,-100,-100,-100,-87,-88,-100,-89,-88,-87,-65,-66,-66,-71,-70,-70,-86,-85,-87,-100,-100,-100,542,206,1
-74,-74,-74,-69,-70,-70,-69,-69,-69,-66,-66,-66,-65,-65,-65,-63,-60,-63,-73,-73,-73,-84,-85,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-84,-83,-83,-83,-100,-100,-100,-100,-100,-100,-100,-85,-87,-100,-100,-100,-89,-87,-89,-100,-100,-100,-85,-87,-87,-89,-88,-88,-67,-66,-67,-71,-70,-71,-87,-86,-87,-100,-100,-100,542,206,1
-73,-73,-73,-68,-68,-68,-69,-70,-69,-61,-61,-61,-65,-65,-65,-63,-61,-63,-73,-73,-72,-79,-79,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-84,-84,-83,-82,-82,-82,-100,-100,-100,-100,-100,-100,-100,-85,-84,-100,-100,-100,-89,-89,-89,-100,-100,-100,-87,-85,-85,-89,-89,-90,-66,-66,-66,-70,-70,-70,-86,-86,-87,-100,-100,-100,542,206,1
-100,-74,-74,-70,-70,-70,-69,-71,-71,-61,-61,-61,-65,-65,-65,-62,-60,-61,-73,-73,-73,-81,-81,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-84,-78,-83,-83,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-87,-89,-100,-100,-100,-100,-87,-87,-87,-87,-87,-68,-67,-67,-69,-69,-69,-86,-87,-87,-100,-100,-100,542,206,1
